//Numéro,Pokémon,Nom,français,Nom,anglais,Nom,allemand,Nom,japonais
001,001,Bulbizarre,Bulbasaur,Bisasam,フシギダネ,Fushigidane
002,002,Herbizarre,Ivysaur,Bisaknosp,フシギソウ,(Fushigisō),Fushigisou
003,003,Florizarre,Venusaur,Bisaflor,フシギバナ,Fushigibana
004,004,Salamèche,Charmander,Glumanda,ヒトカゲ,Hitokage
005,005,Reptincel,Charmeleon,Glutexo,リザード,(Rizādo),Lizardo
006,006,Dracaufeu,Charizard,Glurak,リザードン,(Rizādon),Lizardon
007,007,Carapuce,Squirtle,Schiggy,ゼニガメ,Zenigame
008,008,Carabaffe,Wartortle,Schillok,カメール,(Kamēru),Kameil
009,009,Tortank,Blastoise,Turtok,カメックス,(Kamekkusu),Kamex
010,010,Chenipan,Caterpie,Raupy,キャタピー,(Kyatapī),Caterpie
011,011,Chrysacier,Metapod,Safcon,トランセル,(Toranseru),Trancell
012,012,Papilusion,Butterfree,Smettbo,バタフリー,(Batafurī),Butterfree
013,013,Aspicot,Weedle,Hornliu,ビードル,(Bīdoru),Beedle
014,014,Coconfort,Kakuna,Kokuna,コクーン,(Kokūn),Cocoon
015,015,Dardargnan,Beedrill,Bibor,スピアー,(Supiā),Spear
016,016,Roucool,Pidgey,Taubsi,ポッポ,Poppo
017,017,Roucoups,Pidgeotto,Tauboga,ピジョン,(Pijon),Pigeon
018,018,Roucarnage,Pidgeot,Tauboss,ピジョット,(Pijotto),Pigeot
019,019,Rattata,Rattata,Rattfratz,コラッタ,Koratta
020,020,Rattatac,Raticate,Rattikarl,ラッタ,Ratta
021,021,Piafabec,Spearow,Habitak,オニスズメ,Onisuzume
022,022,Rapasdepic,Fearow,Ibitak,オニドリル,(Onidoriru),Onidrill

023,023,Abo,Ekans,Rettan,アーボ,(Ābo),Arbo
024,024,Arbok,Arbok,Arbok,アーボック,(Ābokku),Arbok
025,025,Pikachu,Pikachu,Pikachu,ピカチュウ,(Pikachū),Pikachu
026,026,Raichu,Raichu,Raichu,ライチュウ,(Raichū),Raichu
027,027,Sabelette,Sandshrew,Sandan,サンド,(Sando),Sand
028,028,Sablaireau,Sandslash,Sandamer,サンドパン,(Sandopan),Sandpan
029,029,Nidoran♀,Nidoran♀,Nidoran♀,ニドラン♀,Nidoran♀
030,030,Nidorina,Nidorina,Nidorina,ニドリーナ,(Nidorīna),Nidorina
031,031,Nidoqueen,Nidoqueen,Nidoqueen,ニドクイン,(Nidokuin),Nidoqueen
032,032,Nidoran♂,Nidoran♂,Nidoran♂,ニドラン♂,Nidoran♂
033,033,Nidorino,Nidorino,Nidorino,ニドリーノ,(Nidorīno),Nidorino
034,034,Nidoking,Nidoking,Nidoking,ニドキング,(Nidokingu),Nidoking
035,035,Mélofée,Clefairy,Piepi,ピッピ,Pippi
036,036,Mélodelfe,Clefable,Pixi,ピクシー,(Pikushī),Pixy
037,037,Goupix,Vulpix,Vulpix,ロコン,Rokon
038,038,Feunard,Ninetales,Vulnona,キｭウコン,(Kyūkon),Kyukon
039,039,Rondoudou,Jigglypuff,Pummeluff,プリン,Purin
040,040,Grodoudou,Wigglytuff,Knuddeluff,プクリン,Pukurin
041,041,Nosferapti,Zubat,Zubat,ズバット,(Zubatto),Zubat
042,042,Nosferalto,Golbat,Golbat,ゴルバット,(Gorubatto),Golbat
043,043,Mystherbe,Oddish,Myrapla,ナゾノクサ,Nazonokusa
044,044,Ortide,Gloom,Duflor,クサイハナ,Kusaihana
045,045,Rafflesia,Vileplume,Giflor,ラフレシア,(Rafureshia),Ruffresia

046,046,Paras,Paras,Paras,パラス,(Parasu),Paras
047,047,Parasect,Parasect,Parasek,パラセクト,(Parasekuto),Parasect
048,048,Mimitoss,Venonat,Bluzuk,コンパン,(Konpan),Kongpang
049,049,Aéromite,Venomoth,Omot,モルフォン,(Morufon),Morphon
050,050,Taupiqueur,Diglett,Digda,ディグダ,(Diguda),Digda
051,051,Triopikeur,Dugtrio,Digdri,ダグトリオ,(Dagutorio),Dugtrio

Numéro,Pokémon,Nom,français,Nom,anglais,Nom,allemand,Nom,japonais
052,052,Miaouss,Meowth,Mauzi,ニャース,(Nyāsu),Nyarth
053,053,Persian,Persian,Snobilikat,ペルシアン,(Perushian),Persian
054,054,Psykokwak,Psyduck,Enton,コダック,(Kodakku),Koduck
055,055,Akwakwak,Golduck,Entoron,ゴルダック,(Gorudakku),Golduck
056,056,Férosinge,Mankey,Menki,マンキー,(Mankī),Mankey
057,057,Colossinge,Primeape,Rasaff,オコリザル,Okorizaru
058,058,Caninos,Growlithe,Fukano,ガーディ,(Gādi),Gardie
059,059,Arcanin,Arcanine,Arkani,ウインディ,(Uindi),Windie
060,060,Ptitard,Poliwag,Quapsel,ニョロモ,Nyoromo
061,061,Têtarte,Poliwhirl,Quaputzi,ニョロゾ,Nyorozo
062,062,Tartard,Poliwrath,Quappo,ニョロボン,Nyorobon
063,063,Abra,Abra,Abra,ケーシィ,(Kēshī),Casey
064,064,Kadabra,Kadabra,Kadabra,ユンゲラー,(Yungerā),Yungerer
065,065,Alakazam,Alakazam,Simsala,フーディン,(Fūdin),Foodin
066,066,Machoc,Machop,Machollo,ワンリキー,(Wanrikī),Wanriky
067,067,Machopeur,Machoke,Maschock,ゴーリキー,(Gōrikī),Goriky
068,068,Mackogneur,Machamp,Machomei,カイリキー,(Kairikī),Kairiky
069,069,Chétiflor,Bellsprout,Knofensa,マダツボミ,Madatsubomi
070,070,Boustiflor,Weepinbell,Ultrigaria,ウツドン,Utsudon
071,071,Empiflor,Victreebel,Sarzenia,ウツボット,(Utsubotto),Utsubot
072,072,Tentacool,Tentacool,Tentacha,メノクラゲ,Menokurage
073,073,Tentacruel,Tentacruel,Tentoxa,ドククラゲ,Dokukurage
074,074,Racaillou,Geodude,Kleinstein,イシツブテ,Ishitsubute
075,075,Gravalanch,Graveler,Georok,ゴローン,(Gorōn),Golone
076,076,Grolem,Golem,Geowaz,ゴローニャ,(Gorōnya),Golonya
077,077,Ponyta,Ponyta,Ponita,ポニータ,(Ponīta),Ponyta
078,078,Galopa,Rapidash,Gallopa,ギャロップ,(Gyaroppu),Gallop
079,079,Ramoloss,Slowpoke,Flegmon,ヤドン,Yadon
080,080,Flagadoss,Slowbro,Lahmus,ヤドラン,Yadoran
081,081,Magnéti,Magnemite,Magnetilo,コイル,(Koiru),Coil
082,082,Magnéton,Magneton,Magneton,レアコイル,(Reakoiru),Rarecoil
083,083,Canarticho,Farfetch'd,Porenta,カモネギ,Kamonegi
084,084,Doduo,Doduo,Dodu,ドードー,(Dōdō),Dodo
085,085,Dodrio,Dodrio,Dodri,ドードリオ,(Dōdorio),Dodorio
086,086,Otaria,Seel,Jurob,パウワウ,(Pauwau),Pawou
087,087,Lamantine,Dewgong,Jugong,ジュゴン,Jugon

088,088,Tadmorv,Grimer,Sleima,ベトベター,(Betobetā),Betbeter
089,089,Grotadmorv,Muk,Sleimok,ベトベトン,(Betobeton),Betbeton
090,090,Kokiyas,Shellder,Muschas,シェルダー,(Sherudā),Shellder
091,091,Crustabri,Cloyster,Austos,パルシェン,(Parushen),Parshen
092,092,Fantominus,Gastly,Nebulak,ゴース,(Gōsu),Ghos
093,093,Spectrum,Haunter,Alpollo,ゴースト,(Gōsuto),Ghost
094,094,Ectoplasma,Gengar,Gengar,ゲンガー,(Gengā),Gangar
095,095,Onix,Onix,Onix,イワーク,(Iwāku),Iwark
096,096,Soporifik,Drowzee,Traumato,スリープ,(Surīpu),Sleep
097,097,Hypnomade,Hypno,Hypno,スリーパー,(Surīpā),Sleeper
098,098,Krabby,Krabby,Krabby,クラブ,(Kurabu),Crab
099,099,Krabboss,Kingler,Kingler,キングラー,(Kingurā),Kingler
100,100,Voltorbe,Voltorb,Voltobal,ビリリダマ,Biriridama
101,101,Électrode,Electrode,Lektrobal,マルマイン,(Marumain),Marumine
102,(Nœunœuf),à,151,(Mew)
Numéro,Pokémon,Nom,français,Nom,anglais,Nom,allemand,Nom,japonais

102,102,Nœunœuf,Exeggcute,Owei,タマタマ,Tamatama
103,103,Noadkoko,Exeggutor,Kokowei,ナッシー,(Nasshī),Nassy
104,104,Osselait,Cubone,Tragosso,カラカラ,Karakara
105,105,Ossatueur,Marowak,Knogga,ガラガラ,Garagara
106,106,Kicklee,Hitmonlee,Kicklee,サワムラー,(Sawamurā),Sawamular
107,107,Tygnon,Hitmonchan,Nockchan,エビワラー,(Ebiwarā),Ebiwalars
108,108,Excelangue,Lickitung,Schlurp,ベロリンガ,Beroringa
109,109,Smogo,Koffing,Smogon,ドガース,(Dogāsu),Dogars
110,110,Smogogo,Weezing,Smogmog,マタドガス,(Matadogasu),Matadogas
111,111,Rhinocorne,Rhyhorn,Rihorn,サイホーン,(Saihōn),Sihorn
112,112,Rhinoféros,Rhydon,Rizeros,サイドン,(Saidon),Sidon
113,113,Leveinard,Chansey,Chaneira,ラッキー,(Rakkī),Lucky
114,114,Saquedeneu,Tangela,Tangela,モンジャラ,Monjara
115,115,Kangourex,Kangaskhan,Kangama,ガルーラ,(Garūra),Garura
116,116,Hypotrempe,Horsea,Seeper,タッツー,(Tattsū),Tattu
117,117,Hypocéan,Seadra,Seemon,シードラ,(Shīdora),Seadra
118,118,Poissirène,Goldeen,Goldini,トサキント,Tosakinto
119,119,Poissoroy,Seaking,Golking,アズマオウ,(Azumaō),Azumao
120,120,Stari,Staryu,Sterndu,ヒトデマン,Hitodeman
121,121,Staross,Starmie,Starmie,スターミー,(Sutāmī),Starmie
122,122,M. Mime,Mr.,Mime,Pantimos,バリヤード,(Bariyādo),Barrierd
123,123,Insécateur,Scyther,Sichlor,ストライク,(Sutoraiku),Strike
124,124,Lippoutou,Jynx,Rossana,ルージュラ,(Rūjura),Rougela
125,125,Élektek,Electabuzz,Elektek,エレブー,(Erebū),Eleboo
126,126,Magmar,Magmar,Magmar,ブーバー,(Būbā),Boober
127,127,Scarabrute,Pinsir,Pinsir,カイロス,(Kairosu),Kailios
128,128,Tauros,Tauros,Tauros,ケンタロス,(Kentarosu),Kentauros
129,129,Magicarpe,Magikarp,Karpador,コイキング,(Koikingu),Koiking
130,130,Léviator,Gyarados,Garados,ギャラドス,(Gyaradosu),Gyarados
131,131,Lokhlass,Lapras,Lapras,ラプラス,(Rapurasu),Laplace
132,132,Métamorph,Ditto,Ditto,メタモン,Metamon
133,133,Évoli,Eevee,Evoli,イーブイ,(Ībui),Eievui
134,134,Aquali,Vaporeon,Aquana,シャワーズ,(Shawāzu),Showers
135,135,Voltali,Jolteon,Blitza,サンダース,(Sandāsu),Thunders
136,136,Pyroli,Flareon,Flamara,ブースター,(Būsutā),Booster
137,137,Porygon,Porygon,Porygon,ポリゴン,(Porigon),Porygon
138,138,Amonita,Omanyte,Amonitas,オムナイト,(Omunaito),Omnite
139,139,Amonistar,Omastar,Amoroso,オムスター,(Omusutā),Omstar
140,140,Kabuto,Kabuto,Kabuto,カブト,Kabuto
141,141,Kabutops,Kabutops,Kabutops,カブトプス,(Kabutopusu),Kabutops
142,142,Ptéra,Aerodactyl,Aerodactyl,プテラ,(Putera),Ptera
143,143,Ronflex,Snorlax,Relaxo,カビゴン,Kabigon
144,144,Artikodin,Articuno,Arktos,フリーザー,(Furīzā),Freezer
145,145,Électhor,Zapdos,Zapdos,サンダー,(Sandā),Thunder
146,146,Sulfura,Moltres,Lavados,ファイヤー,(Faiyā),Fire
147,147,Minidraco,Dratini,Dratini,ミニリｭウ,(Miniryū),Miniryu
148,148,Draco,Dragonair,Dragonir,ハクリュー,(Hakuryū),Hakuryu
149,149,Dracolosse,Dragonite,Dragoran,カイリｭー,(Kairyū),Kairyu
150,150,Mewtwo,Mewtwo,Mewtu,ミｭウツー,(Myūtsu),Mewtwo
151,151,Mew,Mew,Mew,ミｭウ,(Myū),Mew,
